PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32196654","Caveolin-1 in oncogenic metabolic symbiosis","Raudenska M, Gumulec J, Balvan J, Masarik M.","Int J Cancer. 2020 Oct 1;147(7):1793-1807. doi: 10.1002/ijc.32987. Epub 2020 Apr 21.","Raudenska M","Int J Cancer","2020","2020/03/21","","","10.1002/ijc.32987"
"32294424","Agriculture and the Disruption of Plant-Microbial Symbiosis","Porter SS, Sachs JL.","Trends Ecol Evol. 2020 May;35(5):426-439. doi: 10.1016/j.tree.2020.01.006. Epub 2020 Mar 10.","Porter SS","Trends Ecol Evol","2020","2020/04/16","","","10.1016/j.tree.2020.01.006"
"32054781","Receptor-Like Kinases Sustain Symbiotic Scrutiny","Chiu CH, Paszkowski U.","Plant Physiol. 2020 Apr;182(4):1597-1612. doi: 10.1104/pp.19.01341. Epub 2020 Feb 13.","Chiu CH","Plant Physiol","2020","2020/02/15","PMC7140970","","10.1104/pp.19.01341"
"33299088","Introduction to host microbiome symbiosis in health and disease","Malard F, Dore J, Gaugler B, Mohty M.","Mucosal Immunol. 2021 May;14(3):547-554. doi: 10.1038/s41385-020-00365-4. Epub 2020 Dec 9.","Malard F","Mucosal Immunol","2021","2020/12/10","PMC7724625","","10.1038/s41385-020-00365-4"
"33171105","Microbial Symbiosis: A Network towards Biomethanation","Saha S, Basak B, Hwang JH, Salama ES, Chatterjee PK, Jeon BH.","Trends Microbiol. 2020 Dec;28(12):968-984. doi: 10.1016/j.tim.2020.03.012. Epub 2020 Apr 22.","Saha S","Trends Microbiol","2020","2020/11/10","","","10.1016/j.tim.2020.03.012"
"32078984","Symbioses among ants and microbes","Moreau CS.","Curr Opin Insect Sci. 2020 Jun;39:1-5. doi: 10.1016/j.cois.2020.01.002. Epub 2020 Jan 30.","Moreau CS","Curr Opin Insect Sci","2020","2020/02/21","","","10.1016/j.cois.2020.01.002"
"30910773","Mechanisms and Impact of Symbiotic Phosphate Acquisition","Chiu CH, Paszkowski U.","Cold Spring Harb Perspect Biol. 2019 Jun 3;11(6):a034603. doi: 10.1101/cshperspect.a034603.","Chiu CH","Cold Spring Harb Perspect Biol","2019","2019/03/27","PMC6546048","","10.1101/cshperspect.a034603"
"22688813","Cell biology of cnidarian-dinoflagellate symbiosis","Davy SK, Allemand D, Weis VM.","Microbiol Mol Biol Rev. 2012 Jun;76(2):229-61. doi: 10.1128/MMBR.05014-11.","Davy SK","Microbiol Mol Biol Rev","2012","2012/06/13","PMC3372257","","10.1128/MMBR.05014-11"
"29684704","Nitrate-mediated control of root nodule symbiosis","Nishida H, Suzaki T.","Curr Opin Plant Biol. 2018 Aug;44:129-136. doi: 10.1016/j.pbi.2018.04.006. Epub 2018 May 24.","Nishida H","Curr Opin Plant Biol","2018","2018/04/24","","","10.1016/j.pbi.2018.04.006"
"34186295","Conditioning plants for arbuscular mycorrhizal symbiosis through DWARF14-LIKE signalling","Hull R, Choi J, Paszkowski U.","Curr Opin Plant Biol. 2021 Aug;62:102071. doi: 10.1016/j.pbi.2021.102071. Epub 2021 Jun 26.","Hull R","Curr Opin Plant Biol","2021","2021/06/29","PMC8425181","","10.1016/j.pbi.2021.102071"
"34908500","Brassinosteroids Benefit Plants Performance by Augmenting Arbuscular Mycorrhizal Symbiosis","Ren Y, Che X, Liang J, Wang S, Han L, Liu Z, Chen H, Tang M.","Microbiol Spectr. 2021 Dec 22;9(3):e0164521. doi: 10.1128/spectrum.01645-21. Epub 2021 Dec 15.","Ren Y","Microbiol Spectr","2021","2021/12/15","PMC8672874","","10.1128/spectrum.01645-21"
"33329456","Determinants of Host Range Specificity in Legume-Rhizobia Symbiosis","Walker L, Lagunas B, Gifford ML.","Front Microbiol. 2020 Nov 27;11:585749. doi: 10.3389/fmicb.2020.585749. eCollection 2020.","Walker L","Front Microbiol","2020","2020/12/17","PMC7728800","","10.3389/fmicb.2020.585749"
"33309942","Mycorrhizal symbiosis modulates the rhizosphere microbiota to promote rhizobia-legume symbiosis","Wang X, Feng H, Wang Y, Wang M, Xie X, Chang H, Wang L, Qu J, Sun K, He W, Wang C, Dai C, Chu Z, Tian C, Yu N, Zhang X, Liu H, Wang E.","Mol Plant. 2021 Mar 1;14(3):503-516. doi: 10.1016/j.molp.2020.12.002. Epub 2020 Dec 9.","Wang X","Mol Plant","2021","2020/12/14","","","10.1016/j.molp.2020.12.002"
"33158887","The Ecology and Evolution of Amoeba-Bacterium Interactions","Shi Y, Queller DC, Tian Y, Zhang S, Yan Q, He Z, He Z, Wu C, Wang C, Shu L.","Appl Environ Microbiol. 2021 Jan 4;87(2):e01866-20. doi: 10.1128/AEM.01866-20. Print 2021 Jan 4.","Shi Y","Appl Environ Microbiol","2021","2020/11/07","PMC7783332","","10.1128/AEM.01866-20"
"32097167","A Model for Academic Symbiosis","Qadan M.","Ann Surg. 2020 Apr;271(4):e105. doi: 10.1097/SLA.0000000000003807.","Qadan M","Ann Surg","2020","2020/02/26","","","10.1097/SLA.0000000000003807"
"33347631","Dynamics of miRNA mediated regulation of legume symbiosis","Tiwari M, Pandey V, Singh B, Bhatia S.","Plant Cell Environ. 2021 May;44(5):1279-1291. doi: 10.1111/pce.13983. Epub 2021 Jan 13.","Tiwari M","Plant Cell Environ","2021","2020/12/21","","","10.1111/pce.13983"
"32371358","Relevance of microbial symbiosis to insect behavior","Hosokawa T, Fukatsu T.","Curr Opin Insect Sci. 2020 Jun;39:91-100. doi: 10.1016/j.cois.2020.03.004. Epub 2020 Mar 20.","Hosokawa T","Curr Opin Insect Sci","2020","2020/05/07","","","10.1016/j.cois.2020.03.004"
"30043308","The Multiple Faces of the Medicago-Sinorhizobium Symbiosis","Berrabah F, Salem EHA, Garmier M, Ratet P.","Methods Mol Biol. 2018;1822:241-260. doi: 10.1007/978-1-4939-8633-0_16.","Berrabah F","Methods Mol Biol","2018","2018/07/26","","","10.1007/978-1-4939-8633-0_16"
"34393323","World symbiosis day webinar - when living together is a win-win","Dutta R, Pujari S, Tyagi S, Gupta MM, Davy SK, Richardson DHS.","Symbiosis. 2021;84(3):233-237. doi: 10.1007/s13199-021-00797-x. Epub 2021 Aug 10.","Dutta R","Symbiosis","2021","2021/08/16","PMC8354520","","10.1007/s13199-021-00797-x"
"34037236","Phosphate Suppression of Arbuscular Mycorrhizal Symbiosis Involves Gibberellic Acid Signaling","Nouri E, Surve R, Bapaume L, Stumpe M, Chen M, Zhang Y, Ruyter-Spira C, Bouwmeester H, Glauser G, Bruisson S, Reinhardt D.","Plant Cell Physiol. 2021 Oct 11;62(6):959-970. doi: 10.1093/pcp/pcab063.","Nouri E","Plant Cell Physiol","2021","2021/05/26","PMC8504448","","10.1093/pcp/pcab063"
"25408690","Expanding genomics of mycorrhizal symbiosis","Kuo A, Kohler A, Martin FM, Grigoriev IV.","Front Microbiol. 2014 Nov 4;5:582. doi: 10.3389/fmicb.2014.00582. eCollection 2014.","Kuo A","Front Microbiol","2014","2014/11/20","PMC4219462","","10.3389/fmicb.2014.00582"
"23113535","Plant hormones as signals in arbuscular mycorrhizal symbiosis","Miransari M, Abrishamchi A, Khoshbakht K, Niknam V.","Crit Rev Biotechnol. 2014 Jun;34(2):123-33. doi: 10.3109/07388551.2012.731684. Epub 2012 Nov 1.","Miransari M","Crit Rev Biotechnol","2014","2012/11/02","","","10.3109/07388551.2012.731684"
"34976805","The Metabolism Symbiosis Between Pancreatic Cancer and Tumor Microenvironment","Li Y, Zhang J, Xu J, Liu S.","Front Oncol. 2021 Dec 16;11:759376. doi: 10.3389/fonc.2021.759376. eCollection 2021.","Li Y","Front Oncol","2021","2022/01/03","PMC8716377","","10.3389/fonc.2021.759376"
"32163588","The role of microRNAs in the legume-Rhizobium nitrogen-fixing symbiosis","Hoang NT, Tóth K, Stacey G.","J Exp Bot. 2020 Mar 12;71(5):1668-1680. doi: 10.1093/jxb/eraa018.","Hoang NT","J Exp Bot","2020","2020/03/13","","","10.1093/jxb/eraa018"
"22983032","Study of cnidarian-algal symbiosis in the ""omics"" age","Meyer E, Weis VM.","Biol Bull. 2012 Aug;223(1):44-65. doi: 10.1086/BBLv223n1p44.","Meyer E","Biol Bull","2012","2012/09/18","","","10.1086/BBLv223n1p44"
"28622658","How effectors promote beneficial interactions","Miwa H, Okazaki S.","Curr Opin Plant Biol. 2017 Aug;38:148-154. doi: 10.1016/j.pbi.2017.05.011. Epub 2017 Jun 13.","Miwa H","Curr Opin Plant Biol","2017","2017/06/17","","","10.1016/j.pbi.2017.05.011"
"33829985","The impact of intra-specific diversity in the rhizobia-legume symbiosis","Fields B, Moffat EK, Friman VP, Harrison E.","Microbiology (Reading). 2021 Apr;167(4):001051. doi: 10.1099/mic.0.001051.","Fields B","Microbiology (Reading)","2021","2021/04/08","PMC8289218","","10.1099/mic.0.001051"
"30268783","Innate immunity and cnidarian-Symbiodiniaceae mutualism","Mansfield KM, Gilmore TD.","Dev Comp Immunol. 2019 Jan;90:199-209. doi: 10.1016/j.dci.2018.09.020. Epub 2018 Sep 27.","Mansfield KM","Dev Comp Immunol","2019","2018/10/01","","","10.1016/j.dci.2018.09.020"
"29472284","Symbiosis in the microbial world: from ecology to genome evolution","Raina JB, Eme L, Pollock FJ, Spang A, Archibald JM, Williams TA.","Biol Open. 2018 Feb 22;7(2):bio032524. doi: 10.1242/bio.032524.","Raina JB","Biol Open","2018","2018/02/24","PMC5861367","","10.1242/bio.032524"
"33184570","Symbiosis and survival: Xanthoria elegans","Braunberger P.","J Can Acad Child Adolesc Psychiatry. 2020 Nov;29(4):256-259. Epub 2020 Nov 1.","Braunberger P","J Can Acad Child Adolesc Psychiatry","2020","2020/11/13","PMC7595262","",""
"27034284","Speciation by Symbiosis: the Microbiome and Behavior","Shropshire JD, Bordenstein SR.","mBio. 2016 Mar 31;7(2):e01785. doi: 10.1128/mBio.01785-15.","Shropshire JD","mBio","2016","2016/04/02","PMC4817261","","10.1128/mBio.01785-15"
"32764052","Specificity in legume nodule symbiosis","Bisseling T, Geurts R.","Science. 2020 Aug 7;369(6504):620-621. doi: 10.1126/science.abd3857.","Bisseling T","Science","2020","2020/08/09","","","10.1126/science.abd3857"
"29954096","Horizontal Transfer of Symbiosis Genes within and Between Rhizobial Genera: Occurrence and Importance","Andrews M, De Meyer S, James EK, Stępkowski T, Hodge S, Simon MF, Young JPW.","Genes (Basel). 2018 Jun 27;9(7):321. doi: 10.3390/genes9070321.","Andrews M","Genes (Basel)","2018","2018/06/30","PMC6071183","","10.3390/genes9070321"
"28855333","Plant Signaling and Metabolic Pathways Enabling Arbuscular Mycorrhizal Symbiosis","MacLean AM, Bravo A, Harrison MJ.","Plant Cell. 2017 Oct;29(10):2319-2335. doi: 10.1105/tpc.17.00555. Epub 2017 Aug 30.","MacLean AM","Plant Cell","2017","2017/09/01","PMC5940448","","10.1105/tpc.17.00555"
"29510317","What have we learnt from studying the evolution of the arbuscular mycorrhizal symbiosis?","Vigneron N, Radhakrishnan GV, Delaux PM.","Curr Opin Plant Biol. 2018 Aug;44:49-56. doi: 10.1016/j.pbi.2018.02.004. Epub 2018 Mar 3.","Vigneron N","Curr Opin Plant Biol","2018","2018/03/07","","","10.1016/j.pbi.2018.02.004"
"30322086","Phytohormones Regulate the Development of Arbuscular Mycorrhizal Symbiosis","Liao D, Wang S, Cui M, Liu J, Chen A, Xu G.","Int J Mol Sci. 2018 Oct 12;19(10):3146. doi: 10.3390/ijms19103146.","Liao D","Int J Mol Sci","2018","2018/10/17","PMC6213213","","10.3390/ijms19103146"
"28782719","Nutrient Exchange and Regulation in Arbuscular Mycorrhizal Symbiosis","Wang W, Shi J, Xie Q, Jiang Y, Yu N, Wang E.","Mol Plant. 2017 Sep 12;10(9):1147-1158. doi: 10.1016/j.molp.2017.07.012. Epub 2017 Aug 3.","Wang W","Mol Plant","2017","2017/08/08","","","10.1016/j.molp.2017.07.012"
"23965960","Quorum sensing in the squid-Vibrio symbiosis","Verma SC, Miyashiro T.","Int J Mol Sci. 2013 Aug 7;14(8):16386-401. doi: 10.3390/ijms140816386.","Verma SC","Int J Mol Sci","2013","2013/08/23","PMC3759917","","10.3390/ijms140816386"
"30737510","Extracellular membranes in symbiosis","Limpens E.","Nat Plants. 2019 Feb;5(2):131-132. doi: 10.1038/s41477-019-0370-7.","Limpens E","Nat Plants","2019","2019/02/10","","","10.1038/s41477-019-0370-7"
"30905198","Precarious Symbiosis Between Host and Microbiome in Cardiovascular Health","Bartolomaeus H, Markó L, Wilck N, Luft FC, Forslund SK, Muller DN.","Hypertension. 2019 May;73(5):926-935. doi: 10.1161/HYPERTENSIONAHA.119.11786.","Bartolomaeus H","Hypertension","2019","2019/03/26","","","10.1161/HYPERTENSIONAHA.119.11786"
"26133016","Toward the Healthiest Symbiosis","Darnall BD, Schatman ME.","Pain Med. 2015 Jul;16(7):1254-5. doi: 10.1111/pme.12828_3. Epub 2015 Jul 1.","Darnall BD","Pain Med","2015","2015/07/02","","","10.1111/pme.12828_3"
"33263880","The Evolutionary Aspects of Legume Nitrogen-Fixing Nodule Symbiosis","Shen D, Bisseling T.","Results Probl Cell Differ. 2020;69:387-408. doi: 10.1007/978-3-030-51849-3_14.","Shen D","Results Probl Cell Differ","2020","2020/12/02","","","10.1007/978-3-030-51849-3_14"
"29871803","Endosymbiosis as a source of immune innovation","Heddi A, Zaidman-Rémy A.","C R Biol. 2018 May-Jun;341(5):290-296. doi: 10.1016/j.crvi.2018.03.005. Epub 2018 Jun 2.","Heddi A","C R Biol","2018","2018/06/07","","","10.1016/j.crvi.2018.03.005"
"32772672","Coral evolutionary responses to microbial symbioses","van Oppen MJH, Medina M.","Philos Trans R Soc Lond B Biol Sci. 2020 Sep 28;375(1808):20190591. doi: 10.1098/rstb.2019.0591. Epub 2020 Aug 10.","van Oppen MJH","Philos Trans R Soc Lond B Biol Sci","2020","2020/08/11","PMC7435167","","10.1098/rstb.2019.0591"
"29806959","Partner communication and role of nutrients in the arbuscular mycorrhizal symbiosis","Lanfranco L, Fiorilli V, Gutjahr C.","New Phytol. 2018 Dec;220(4):1031-1046. doi: 10.1111/nph.15230. Epub 2018 May 28.","Lanfranco L","New Phytol","2018","2018/05/29","","","10.1111/nph.15230"
"33975964","MicroRNA-Mediated Regulation of Initial Host Responses in a Symbiotic Organ","Moriano-Gutierrez S, Ruby EG, McFall-Ngai MJ.","mSystems. 2021 May 11;6(3):e00081-21. doi: 10.1128/mSystems.00081-21.","Moriano-Gutierrez S","mSystems","2021","2021/05/12","PMC8125070","","10.1128/mSystems.00081-21"
"34065540","Rethinking of the Roles of Endophyte Symbiosis and Mycotoxin in Oxytropis Plants","Guan H, Liu X, Mur LAJ, Fu Y, Wei Y, Wang J, He W.","J Fungi (Basel). 2021 May 20;7(5):400. doi: 10.3390/jof7050400.","Guan H","J Fungi (Basel)","2021","2021/06/02","PMC8160975","","10.3390/jof7050400"
"33178254","Prokaryote-Eukaryote Symbiosis to Produce RNA-Based Therapeutics","Tahayori B.","Front Genet. 2020 Oct 16;11:583464. doi: 10.3389/fgene.2020.583464. eCollection 2020.","Tahayori B","Front Genet","2020","2020/11/12","PMC7596176","","10.3389/fgene.2020.583464"
"29535169","Bacterial infection and symbiosis","Basler M, Shao F.","Mol Biol Cell. 2018 Mar 15;29(6):683-684. doi: 10.1091/mbc.E17-11-0668.","Basler M","Mol Biol Cell","2018","2018/03/15","PMC6003222","","10.1091/mbc.E17-11-0668"
"33474988","The Need for an Ecologic Understanding of Radiology Practice","Perez JL, Gunderman RB.","AJR Am J Roentgenol. 2021 Mar;216(3):844-846. doi: 10.2214/AJR.20.22919. Epub 2021 Jan 21.","Perez JL","AJR Am J Roentgenol","2021","2021/01/21","","","10.2214/AJR.20.22919"
"24385901","Host defense via symbiosis in Drosophila","Hamilton PT, Perlman SJ.","PLoS Pathog. 2013;9(12):e1003808. doi: 10.1371/journal.ppat.1003808. Epub 2013 Dec 26.","Hamilton PT","PLoS Pathog","2013","2014/01/04","PMC3873448","","10.1371/journal.ppat.1003808"
"32966595","DLK2 regulates arbuscule hyphal branching during arbuscular mycorrhizal symbiosis","Ho-Plágaro T, Morcillo RJL, Tamayo-Navarrete MI, Huertas R, Molinero-Rosales N, López-Ráez JA, Macho AP, García-Garrido JM.","New Phytol. 2021 Jan;229(1):548-562. doi: 10.1111/nph.16938. Epub 2020 Oct 20.","Ho-Plágaro T","New Phytol","2021","2020/09/23","","","10.1111/nph.16938"
"25202301","The engine of the reef: photobiology of the coral-algal symbiosis","Roth MS.","Front Microbiol. 2014 Aug 22;5:422. doi: 10.3389/fmicb.2014.00422. eCollection 2014.","Roth MS","Front Microbiol","2014","2014/09/10","PMC4141621","","10.3389/fmicb.2014.00422"
"31632421","Argonaute Proteins: Why Are They So Important for the Legume-Rhizobia Symbiosis?","Valdés-López O, Formey D, Isidra-Arellano MC, Reyero-Saavedra MDR, Fernandez-Göbel TF, Sánchez-Correa MDS.","Front Plant Sci. 2019 Oct 3;10:1177. doi: 10.3389/fpls.2019.01177. eCollection 2019.","Valdés-López O","Front Plant Sci","2019","2019/10/22","PMC6785634","","10.3389/fpls.2019.01177"
"26612499","Symbiosis within Symbiosis: Evolving Nitrogen-Fixing Legume Symbionts","Remigi P, Zhu J, Young JPW, Masson-Boivin C.","Trends Microbiol. 2016 Jan;24(1):63-75. doi: 10.1016/j.tim.2015.10.007. Epub 2015 Nov 21.","Remigi P","Trends Microbiol","2016","2015/11/28","","","10.1016/j.tim.2015.10.007"
"33014021","The Impacts of Domestication and Breeding on Nitrogen Fixation Symbiosis in Legumes","Liu J, Yu X, Qin Q, Dinkins RD, Zhu H.","Front Genet. 2020 Aug 18;11:00973. doi: 10.3389/fgene.2020.00973. eCollection 2020.","Liu J","Front Genet","2020","2020/10/05","PMC7461779","","10.3389/fgene.2020.00973"
"33096259","Single symbiotic cell transcriptome sequencing of coral","Li M, Liu H, Guo Y, Chen F, Zi X, Fan R, Li H, Cai Y, He C, Lu Z, Zhao X.","Genomics. 2020 Nov;112(6):5305-5312. doi: 10.1016/j.ygeno.2020.10.019. Epub 2020 Oct 20.","Li M","Genomics","2020","2020/10/23","","","10.1016/j.ygeno.2020.10.019"
"31288964","Plant Symbionts Are Engineers of the Plant-Associated Microbiome","Uroz S, Courty PE, Oger P.","Trends Plant Sci. 2019 Oct;24(10):905-916. doi: 10.1016/j.tplants.2019.06.008. Epub 2019 Jul 6.","Uroz S","Trends Plant Sci","2019","2019/07/11","","","10.1016/j.tplants.2019.06.008"
"29105533","Plant immunity and symbiosis signaling mediated by LysM receptors","Desaki Y, Miyata K, Suzuki M, Shibuya N, Kaku H.","Innate Immun. 2018 Feb;24(2):92-100. doi: 10.1177/1753425917738885. Epub 2017 Nov 6.","Desaki Y","Innate Immun","2018","2017/11/07","PMC6830897","","10.1177/1753425917738885"
"30185979","Slimy symbiosis","Tena G.","Nat Plants. 2018 Sep;4(9):629. doi: 10.1038/s41477-018-0257-z.","Tena G","Nat Plants","2018","2018/09/07","","","10.1038/s41477-018-0257-z"
"32674026","Prof. H.-D. Görtz and his contribution to our knowledge of protozoan symbiosis","Fokin SI.","Eur J Protistol. 2020 Aug;75:125725. doi: 10.1016/j.ejop.2020.125725. Epub 2020 Jul 13.","Fokin SI","Eur J Protistol","2020","2020/07/17","","","10.1016/j.ejop.2020.125725"
"28066403","Emerging Sponge Models of Animal-Microbe Symbioses","Pita L, Fraune S, Hentschel U.","Front Microbiol. 2016 Dec 23;7:2102. doi: 10.3389/fmicb.2016.02102. eCollection 2016.","Pita L","Front Microbiol","2016","2017/01/10","PMC5179597","","10.3389/fmicb.2016.02102"
"32635866","Evolution of division of labour in mutualistic symbiosis","Uchiumi Y, Sasaki A.","Proc Biol Sci. 2020 Jul 8;287(1930):20200669. doi: 10.1098/rspb.2020.0669. Epub 2020 Jul 8.","Uchiumi Y","Proc Biol Sci","2020","2020/07/09","PMC7423485","","10.1098/rspb.2020.0669"
"31011805","Ectomycorrhizal symbiosis helps plants to challenge salt stress conditions","Guerrero-Galán C, Calvo-Polanco M, Zimmermann SD.","Mycorrhiza. 2019 Jul;29(4):291-301. doi: 10.1007/s00572-019-00894-2. Epub 2019 Apr 22.","Guerrero-Galán C","Mycorrhiza","2019","2019/04/24","","","10.1007/s00572-019-00894-2"
"32772859","Symbiosis Promotes Fitness Improvements in the Game of Life","Turney PD.","Artif Life. 2020 Summer;26(3):338-365. doi: 10.1162/artl_a_00326. Epub 2020 Aug 10.","Turney PD","Artif Life","2020","2020/08/11","","","10.1162/artl_a_00326"
"33989381","DNA METHYLATION PROFILING OF A CNIDARIAN-ALGAL SYMBIOSIS USING NANOPORE SEQUENCING","Dimond JL, Nguyen N, Roberts SB.","G3 (Bethesda). 2021 May 14;11(7):jkab148. doi: 10.1093/g3journal/jkab148. Online ahead of print.","Dimond JL","G3 (Bethesda)","2021","2021/05/14","PMC8496274","","10.1093/g3journal/jkab148"
"34623896","Deciphering the Chitin Code in Plant Symbiosis, Defense, and Microbial Networks","Khokhani D, Carrera Carriel C, Vayla S, Irving TB, Stonoha-Arther C, Keller NP, Ané JM.","Annu Rev Microbiol. 2021 Oct 8;75:583-607. doi: 10.1146/annurev-micro-051921-114809.","Khokhani D","Annu Rev Microbiol","2021","2021/10/08","","","10.1146/annurev-micro-051921-114809"
"30968126","Nitric oxide signaling, metabolism and toxicity in nitrogen-fixing symbiosis","Berger A, Boscari A, Frendo P, Brouquisse R.","J Exp Bot. 2019 Aug 29;70(17):4505-4520. doi: 10.1093/jxb/erz159.","Berger A","J Exp Bot","2019","2019/04/11","","","10.1093/jxb/erz159"
"31745930","Histochemical and Molecular Quantification of Arbuscular Mycorrhiza Symbiosis","García JM, Pozo MJ, López-Ráez JA.","Methods Mol Biol. 2020;2083:293-299. doi: 10.1007/978-1-4939-9952-1_22.","García JM","Methods Mol Biol","2020","2019/11/21","","","10.1007/978-1-4939-9952-1_22"
"29662899","Chromium(VI) Toxicity in Legume Plants: Modulation Effects of Rhizobial Symbiosis","Stambulska UY, Bayliak MM, Lushchak VI.","Biomed Res Int. 2018 Feb 14;2018:8031213. doi: 10.1155/2018/8031213. eCollection 2018.","Stambulska UY","Biomed Res Int","2018","2018/04/18","PMC5832134","","10.1155/2018/8031213"
"34759945","Divide and Be Conquered-Cell Cycle Reactivation in Arbuscular Mycorrhizal Symbiosis","Russo G, Genre A.","Front Plant Sci. 2021 Oct 25;12:753265. doi: 10.3389/fpls.2021.753265. eCollection 2021.","Russo G","Front Plant Sci","2021","2021/11/11","PMC8573090","","10.3389/fpls.2021.753265"
