PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33346129","Effect of probiotics and gut microbiota on anti-cancer drugs: Mechanistic perspectives","Badgeley A, Anwar H, Modi K, Murphy P, Lakshmikuttyamma A.","Biochim Biophys Acta Rev Cancer. 2021 Jan;1875(1):188494. doi: 10.1016/j.bbcan.2020.188494. Epub 2020 Dec 17.","Badgeley A","Biochim Biophys Acta Rev Cancer","2021","2020/12/21","","","10.1016/j.bbcan.2020.188494"
"32787470","Probiotics and Covid-19","Bottari B, Castellone V, Neviani E.","Int J Food Sci Nutr. 2021 May;72(3):293-299. doi: 10.1080/09637486.2020.1807475. Epub 2020 Aug 12.","Bottari B","Int J Food Sci Nutr","2021","2020/08/14","","","10.1080/09637486.2020.1807475"
"34335634","Gut Microbiota, Probiotics, and Their Interactions in Prevention and Treatment of Atopic Dermatitis: A Review","Fang Z, Li L, Zhang H, Zhao J, Lu W, Chen W.","Front Immunol. 2021 Jul 14;12:720393. doi: 10.3389/fimmu.2021.720393. eCollection 2021.","Fang Z","Front Immunol","2021","2021/08/02","PMC8317022","","10.3389/fimmu.2021.720393"
"32182980","Probiotics Dietary Supplementation for Modulating Endocrine and Fertility Microbiota Dysbiosis","López-Moreno A, Aguilera M.","Nutrients. 2020 Mar 13;12(3):757. doi: 10.3390/nu12030757.","López-Moreno A","Nutrients","2020","2020/03/19","PMC7146451","","10.3390/nu12030757"
"31450864","Probiotics for Parkinson's Disease","Gazerani P.","Int J Mol Sci. 2019 Aug 23;20(17):4121. doi: 10.3390/ijms20174121.","Gazerani P","Int J Mol Sci","2019","2019/08/28","PMC6747430","","10.3390/ijms20174121"
"31778407","GUT MICROBIOTA AND THE USE OF PROBIOTICS IN CONSTIPATION IN CHILDREN AND ADOLESCENTS: SYSTEMATIC REVIEW","Gomes DOVS, Morais MB.","Rev Paul Pediatr. 2019 Nov 25;38:e2018123. doi: 10.1590/1984-0462/2020/38/2018123. eCollection 2020.","Gomes DOVS","Rev Paul Pediatr","2019","2019/11/29","PMC6909257","","10.1590/1984-0462/2020/38/2018123"
"30267869","Prebiotics and Probiotics in Digestive Health","Quigley EMM.","Clin Gastroenterol Hepatol. 2019 Jan;17(2):333-344. doi: 10.1016/j.cgh.2018.09.028. Epub 2018 Sep 26.","Quigley EMM","Clin Gastroenterol Hepatol","2019","2018/09/30","","","10.1016/j.cgh.2018.09.028"
"32887325","Probiotics, Prebiotics and Other Dietary Supplements for Gut Microbiota Modulation in Celiac Disease Patients","Marasco G, Cirota GG, Rossini B, Lungaro L, Di Biase AR, Colecchia A, Volta U, De Giorgio R, Festi D, Caio G.","Nutrients. 2020 Sep 2;12(9):2674. doi: 10.3390/nu12092674.","Marasco G","Nutrients","2020","2020/09/05","PMC7551848","","10.3390/nu12092674"
"32305492","Probiotics and fructo-oligosaccharide intervention modulate the microbiota-gut brain axis to improve autism spectrum reducing also the hyper-serotonergic state and the dopamine metabolism disorder","Wang Y, Li N, Yang JJ, Zhao DM, Chen B, Zhang GQ, Chen S, Cao RF, Yu H, Zhao CY, Zhao L, Ge YS, Liu Y, Zhang LH, Hu W, Zhang L, Gai ZT.","Pharmacol Res. 2020 Jul;157:104784. doi: 10.1016/j.phrs.2020.104784. Epub 2020 Apr 17.","Wang Y","Pharmacol Res","2020","2020/04/20","","","10.1016/j.phrs.2020.104784"
"30564985","Microbiota and Food Allergy","Shu SA, Yuen AWT, Woo E, Chu KH, Kwan HS, Yang GX, Yang Y, Leung PSC.","Clin Rev Allergy Immunol. 2019 Aug;57(1):83-97. doi: 10.1007/s12016-018-8723-y.","Shu SA","Clin Rev Allergy Immunol","2019","2018/12/20","","","10.1007/s12016-018-8723-y"
"27409822","GUT MICROBIOTA, PREBIOTICS, PROBIOTICS, AND SYNBIOTICS IN MANAGEMENT OF OBESITY AND PREDIABETES: REVIEW OF RANDOMIZED CONTROLLED TRIALS","Barengolts E.","Endocr Pract. 2016 Oct;22(10):1224-1234. doi: 10.4158/EP151157.RA. Epub 2016 Jul 13.","Barengolts E","Endocr Pract","2016","2016/07/14","","","10.4158/EP151157.RA"
"33671813","Role of Gut Microbiota, Probiotics and Prebiotics in the Cardiovascular Diseases","Oniszczuk A, Oniszczuk T, Gancarz M, Szymańska J.","Molecules. 2021 Feb 22;26(4):1172. doi: 10.3390/molecules26041172.","Oniszczuk A","Molecules","2021","2021/03/06","PMC7926819","","10.3390/molecules26041172"
"34579087","Effects and Mechanisms of Probiotics, Prebiotics, Synbiotics, and Postbiotics on Metabolic Diseases Targeting Gut Microbiota: A Narrative Review","Li HY, Zhou DD, Gan RY, Huang SY, Zhao CN, Shang A, Xu XY, Li HB.","Nutrients. 2021 Sep 15;13(9):3211. doi: 10.3390/nu13093211.","Li HY","Nutrients","2021","2021/09/28","PMC8470858","","10.3390/nu13093211"
"30809523","Gut Microbiota and Chronic Constipation: A Review and Update","Ohkusa T, Koido S, Nishikawa Y, Sato N.","Front Med (Lausanne). 2019 Feb 12;6:19. doi: 10.3389/fmed.2019.00019. eCollection 2019.","Ohkusa T","Front Med (Lausanne)","2019","2019/02/28","PMC6379309","","10.3389/fmed.2019.00019"
"32549225","Microbiota and Lifestyle: A Special Focus on Diet","Redondo-Useros N, Nova E, González-Zancada N, Díaz LE, Gómez-Martínez S, Marcos A.","Nutrients. 2020 Jun 15;12(6):1776. doi: 10.3390/nu12061776.","Redondo-Useros N","Nutrients","2020","2020/06/19","PMC7353459","","10.3390/nu12061776"
"32332137","The Gut Microbiota of Laying Hens and Its Manipulation with Prebiotics and Probiotics To Enhance Gut Health and Food Safety","Khan S, Moore RJ, Stanley D, Chousalkar KK.","Appl Environ Microbiol. 2020 Jun 17;86(13):e00600-20. doi: 10.1128/AEM.00600-20. Print 2020 Jun 17.","Khan S","Appl Environ Microbiol","2020","2020/04/26","PMC7301851","","10.1128/AEM.00600-20"
"29173520","Probiotics in Inflammatory Bowel Disease","Abraham BP, Quigley EMM.","Gastroenterol Clin North Am. 2017 Dec;46(4):769-782. doi: 10.1016/j.gtc.2017.08.003. Epub 2017 Oct 3.","Abraham BP","Gastroenterol Clin North Am","2017","2017/11/28","","","10.1016/j.gtc.2017.08.003"
"33072084","Probiotics in Medicine: A Long Debate","Stavropoulou E, Bezirtzoglou E.","Front Immunol. 2020 Sep 25;11:2192. doi: 10.3389/fimmu.2020.02192. eCollection 2020.","Stavropoulou E","Front Immunol","2020","2020/10/19","PMC7544950","","10.3389/fimmu.2020.02192"
"34203002","Probiotics, Prebiotics, and Synbiotics: Implications and Beneficial Effects against Irritable Bowel Syndrome","Simon E, Călinoiu LF, Mitrea L, Vodnar DC.","Nutrients. 2021 Jun 20;13(6):2112. doi: 10.3390/nu13062112.","Simon E","Nutrients","2021","2021/07/02","PMC8233736","","10.3390/nu13062112"
"29985786","A review of dietary and microbial connections to depression, anxiety, and stress","Taylor AM, Holscher HD.","Nutr Neurosci. 2020 Mar;23(3):237-250. doi: 10.1080/1028415X.2018.1493808. Epub 2018 Jul 9.","Taylor AM","Nutr Neurosci","2020","2018/07/10","","","10.1080/1028415X.2018.1493808"
"27048903","Probiotics, prebiotics and colorectal cancer prevention","Ambalam P, Raman M, Purama RK, Doble M.","Best Pract Res Clin Gastroenterol. 2016 Feb;30(1):119-31. doi: 10.1016/j.bpg.2016.02.009. Epub 2016 Feb 19.","Ambalam P","Best Pract Res Clin Gastroenterol","2016","2016/04/07","","","10.1016/j.bpg.2016.02.009"
"32300799","Probiotic Supplementation Improves Cognitive Function and Mood with Changes in Gut Microbiota in Community-Dwelling Older Adults: A Randomized, Double-Blind, Placebo-Controlled, Multicenter Trial","Kim CS, Cha L, Sim M, Jung S, Chun WY, Baik HW, Shin DM.","J Gerontol A Biol Sci Med Sci. 2021 Jan 1;76(1):32-40. doi: 10.1093/gerona/glaa090.","Kim CS","J Gerontol A Biol Sci Med Sci","2021","2020/04/18","PMC7861012","","10.1093/gerona/glaa090"
"31324278","Next generation probiotics in disease amelioration","Chang CJ, Lin TL, Tsai YL, Wu TR, Lai WF, Lu CC, Lai HC.","J Food Drug Anal. 2019 Jul;27(3):615-622. doi: 10.1016/j.jfda.2018.12.011. Epub 2019 Feb 2.","Chang CJ","J Food Drug Anal","2019","2019/07/21","","","10.1016/j.jfda.2018.12.011"
"31078831","Gut feelings: A randomised, triple-blind, placebo-controlled trial of probiotics for depressive symptoms","Chahwan B, Kwan S, Isik A, van Hemert S, Burke C, Roberts L.","J Affect Disord. 2019 Jun 15;253:317-326. doi: 10.1016/j.jad.2019.04.097. Epub 2019 May 9.","Chahwan B","J Affect Disord","2019","2019/05/13","","","10.1016/j.jad.2019.04.097"
"32156153","The impact of probiotics, prebiotics, and synbiotics on the biochemical, clinical, and immunological markers, as well as on the gut microbiota of obese hosts","da Silva TF, Casarotti SN, de Oliveira GLV, Penna ALB.","Crit Rev Food Sci Nutr. 2021;61(2):337-355. doi: 10.1080/10408398.2020.1733483. Epub 2020 Mar 10.","da Silva TF","Crit Rev Food Sci Nutr","2021","2020/03/12","","","10.1080/10408398.2020.1733483"
"28534820","Antioxidant Properties of Probiotic Bacteria","Wang Y, Wu Y, Wang Y, Xu H, Mei X, Yu D, Wang Y, Li W.","Nutrients. 2017 May 19;9(5):521. doi: 10.3390/nu9050521.","Wang Y","Nutrients","2017","2017/05/24","PMC5452251","","10.3390/nu9050521"
"30509561","Gut microbiota and pediatric obesity/non-alcoholic fatty liver disease","Yang YJ, Ni YH.","J Formos Med Assoc. 2019 Mar;118 Suppl 1:S55-S61. doi: 10.1016/j.jfma.2018.11.006. Epub 2018 Dec 1.","Yang YJ","J Formos Med Assoc","2019","2018/12/05","","","10.1016/j.jfma.2018.11.006"
"33549028","A narrative review of relationship between gut microbiota and neuropsychiatric disorders: mechanisms and clinical application of probiotics and prebiotics","Yang H, Liu Y, Cai R, Li Y, Gu B.","Ann Palliat Med. 2021 Feb;10(2):2304-2313. doi: 10.21037/apm-20-1365. Epub 2021 Jan 28.","Yang H","Ann Palliat Med","2021","2021/02/07","","","10.21037/apm-20-1365"
"24583611","Impact of prebiotics and probiotics on skin health","Al-Ghazzewi FH, Tester RF.","Benef Microbes. 2014 Jun 1;5(2):99-107. doi: 10.3920/BM2013.0040.","Al-Ghazzewi FH","Benef Microbes","2014","2014/03/04","","","10.3920/BM2013.0040"
"27808595","Nutrition and the gut microbiome in the elderly","Salazar N, Valdés-Varela L, González S, Gueimonde M, de Los Reyes-Gavilán CG.","Gut Microbes. 2017 Mar 4;8(2):82-97. doi: 10.1080/19490976.2016.1256525. Epub 2016 Nov 3.","Salazar N","Gut Microbes","2017","2016/11/04","PMC5390822","","10.1080/19490976.2016.1256525"
"28925886","The Microbiota-Gut-Brain Axis in Neuropsychiatric Disorders: Pathophysiological Mechanisms and Novel Treatments","Kim YK, Shin C.","Curr Neuropharmacol. 2018;16(5):559-573. doi: 10.2174/1570159X15666170915141036.","Kim YK","Curr Neuropharmacol","2018","2017/09/20","PMC5997867","","10.2174/1570159X15666170915141036"
"32499787","Gut Microbiota in Celiac Disease: Is There Any Role for Probiotics?","Pecora F, Persico F, Gismondi P, Fornaroli F, Iuliano S, de'Angelis GL, Esposito S.","Front Immunol. 2020 May 15;11:957. doi: 10.3389/fimmu.2020.00957. eCollection 2020.","Pecora F","Front Immunol","2020","2020/06/06","PMC7243837","","10.3389/fimmu.2020.00957"
"33918150","Vaginal Probiotics for Reproductive Health and Related Dysbiosis: Systematic Review and Meta-Analysis","López-Moreno A, Aguilera M.","J Clin Med. 2021 Apr 2;10(7):1461. doi: 10.3390/jcm10071461.","López-Moreno A","J Clin Med","2021","2021/04/30","PMC8037567","","10.3390/jcm10071461"
"34026804","Microbiota and Tuberculosis: A Potential Role of Probiotics, and Postbiotics","Liu Y, Wang J, Wu C.","Front Nutr. 2021 May 7;8:626254. doi: 10.3389/fnut.2021.626254. eCollection 2021.","Liu Y","Front Nutr","2021","2021/05/24","PMC8138307","","10.3389/fnut.2021.626254"
"34361948","Probiotics in the Therapeutic Arsenal of Dermatologists","Navarro-López V, Núñez-Delegido E, Ruzafa-Costas B, Sánchez-Pellicer P, Agüera-Santos J, Navarro-Moratalla L.","Microorganisms. 2021 Jul 15;9(7):1513. doi: 10.3390/microorganisms9071513.","Navarro-López V","Microorganisms","2021","2021/08/07","PMC8303240","","10.3390/microorganisms9071513"
"31195600","Dysbiosis and Prematurity: Is There a Role for Probiotics?","Baldassarre ME, Di Mauro A, Capozza M, Rizzo V, Schettini F, Panza R, Laforgia N.","Nutrients. 2019 Jun 5;11(6):1273. doi: 10.3390/nu11061273.","Baldassarre ME","Nutrients","2019","2019/06/15","PMC6627287","","10.3390/nu11061273"
"30611080","Probiotics improve gut microbiota dysbiosis in obese mice fed a high-fat or high-sucrose diet","Kong C, Gao R, Yan X, Huang L, Qin H.","Nutrition. 2019 Apr;60:175-184. doi: 10.1016/j.nut.2018.10.002. Epub 2018 Oct 10.","Kong C","Nutrition","2019","2019/01/06","","","10.1016/j.nut.2018.10.002"
"27048897","Probiotics and prebiotics in ulcerative colitis","Derikx LA, Dieleman LA, Hoentjen F.","Best Pract Res Clin Gastroenterol. 2016 Feb;30(1):55-71. doi: 10.1016/j.bpg.2016.02.005. Epub 2016 Feb 9.","Derikx LA","Best Pract Res Clin Gastroenterol","2016","2016/04/07","","","10.1016/j.bpg.2016.02.005"
"34441008","Microbiota and Probiotics: The Role of Limosilactobacillus Reuteri in Diverticulitis","Piccioni A, Franza L, Vaccaro V, Saviano A, Zanza C, Candelli M, Covino M, Franceschi F, Ojetti V.","Medicina (Kaunas). 2021 Aug 5;57(8):802. doi: 10.3390/medicina57080802.","Piccioni A","Medicina (Kaunas)","2021","2021/08/27","PMC8398895","","10.3390/medicina57080802"
"33881598","Gastrointestinal dysfunction in Parkinson's disease: molecular pathology and implications of gut microbiome, probiotics, and fecal microbiota transplantation","Metta V, Leta V, Mrudula KR, Prashanth LK, Goyal V, Borgohain R, Chung-Faye G, Chaudhuri KR.","J Neurol. 2022 Mar;269(3):1154-1163. doi: 10.1007/s00415-021-10567-w. Epub 2021 Apr 21.","Metta V","J Neurol","2022","2021/04/21","","","10.1007/s00415-021-10567-w"
"30609850","Gut Microbiota and Cancer: From Pathogenesis to Therapy","Vivarelli S, Salemi R, Candido S, Falzone L, Santagati M, Stefani S, Torino F, Banna GL, Tonini G, Libra M.","Cancers (Basel). 2019 Jan 3;11(1):38. doi: 10.3390/cancers11010038.","Vivarelli S","Cancers (Basel)","2019","2019/01/06","PMC6356461","","10.3390/cancers11010038"
"33105830","Probiotics in Treatment of Viral Respiratory Infections and Neuroinflammatory Disorders","Shahbazi R, Yasavoli-Sharahi H, Alsadi N, Ismail N, Matar C.","Molecules. 2020 Oct 22;25(21):4891. doi: 10.3390/molecules25214891.","Shahbazi R","Molecules","2020","2020/10/27","PMC7660077","","10.3390/molecules25214891"
"30800111","Diversity of the Gut Microbiota in Dihydrotestosterone-Induced PCOS Rats and the Pharmacologic Effects of Diane-35, Probiotics, and Berberine","Zhang F, Ma T, Cui P, Tamadon A, He S, Huo C, Yierfulati G, Xu X, Hu W, Li X, Shao LR, Guo H, Feng Y, Xu C.","Front Microbiol. 2019 Feb 8;10:175. doi: 10.3389/fmicb.2019.00175. eCollection 2019.","Zhang F","Front Microbiol","2019","2019/02/26","PMC6375883","","10.3389/fmicb.2019.00175"
"27250499","Probiotics and microbiota composition","Sanders ME.","BMC Med. 2016 Jun 2;14(1):82. doi: 10.1186/s12916-016-0629-z.","Sanders ME","BMC Med","2016","2016/06/03","PMC4890251","","10.1186/s12916-016-0629-z"
"28621726","Microbiota and Probiotics in Health and HIV Infection","D'Angelo C, Reale M, Costantini E.","Nutrients. 2017 Jun 16;9(6):615. doi: 10.3390/nu9060615.","D'Angelo C","Nutrients","2017","2017/06/17","PMC5490594","","10.3390/nu9060615"
"31655880","Amelioration of TMAO through probiotics and its potential role in atherosclerosis","Din AU, Hassan A, Zhu Y, Yin T, Gregersen H, Wang G.","Appl Microbiol Biotechnol. 2019 Dec;103(23-24):9217-9228. doi: 10.1007/s00253-019-10142-4. Epub 2019 Oct 26.","Din AU","Appl Microbiol Biotechnol","2019","2019/10/28","","","10.1007/s00253-019-10142-4"
"34042554","Influence of gut microbiota on eye diseases: an overview","Napolitano P, Filippelli M, Davinelli S, Bartollino S, dell'Omo R, Costagliola C.","Ann Med. 2021 Dec;53(1):750-761. doi: 10.1080/07853890.2021.1925150.","Napolitano P","Ann Med","2021","2021/05/27","PMC8168766","","10.1080/07853890.2021.1925150"
"32475525","Interactions of probiotics and prebiotics with the gut microbiota","Ballan R, Battistini C, Xavier-Santos D, Saad SMI.","Prog Mol Biol Transl Sci. 2020;171:265-300. doi: 10.1016/bs.pmbts.2020.03.008. Epub 2020 Apr 24.","Ballan R","Prog Mol Biol Transl Sci","2020","2020/06/02","","","10.1016/bs.pmbts.2020.03.008"
"32044317","Nonalcoholic Fatty Liver Disease: Modulating Gut Microbiota to Improve Severity?","Aron-Wisnewsky J, Warmbrunn MV, Nieuwdorp M, Clément K.","Gastroenterology. 2020 May;158(7):1881-1898. doi: 10.1053/j.gastro.2020.01.049. Epub 2020 Feb 8.","Aron-Wisnewsky J","Gastroenterology","2020","2020/02/12","","","10.1053/j.gastro.2020.01.049"
"25386066","Intestinal microbiota in health and disease: role of bifidobacteria in gut homeostasis","Tojo R, Suárez A, Clemente MG, de los Reyes-Gavilán CG, Margolles A, Gueimonde M, Ruas-Madiedo P.","World J Gastroenterol. 2014 Nov 7;20(41):15163-76. doi: 10.3748/wjg.v20.i41.15163.","Tojo R","World J Gastroenterol","2014","2014/11/12","PMC4223251","","10.3748/wjg.v20.i41.15163"
"30009996","Probiotics for the treatment of depressive symptoms: An anti-inflammatory mechanism?","Park C, Brietzke E, Rosenblat JD, Musial N, Zuckerman H, Ragguett RM, Pan Z, Rong C, Fus D, McIntyre RS.","Brain Behav Immun. 2018 Oct;73:115-124. doi: 10.1016/j.bbi.2018.07.006. Epub 2018 Jul 18.","Park C","Brain Behav Immun","2018","2018/07/17","","","10.1016/j.bbi.2018.07.006"
"30332668","Role of Gut Microbiota in the Development and Treatment of Colorectal Cancer","Lin C, Cai X, Zhang J, Wang W, Sheng Q, Hua H, Zhou X.","Digestion. 2019;100(1):72-78. doi: 10.1159/000494052. Epub 2018 Oct 17.","Lin C","Digestion","2019","2018/10/18","","","10.1159/000494052"
"34551690","Gut Microbiota and Autoimmune Diseases: a Charming Real World Together with Probiotics","Piccioni A, Cicchinelli S, Valletta F, De Luca G, Longhitano Y, Candelli M, Ojetti V, Sardeo F, Navarra S, Covino M, Franceschi F.","Curr Med Chem. 2021 Sep 22. doi: 10.2174/0929867328666210922161913. Online ahead of print.","Piccioni A","Curr Med Chem","2021","2021/09/23","","","10.2174/0929867328666210922161913"
"28176664","Role of Lactic Acid Probiotic Bacteria in IBD","Vemuri R, Gundamaraju R, Eri R.","Curr Pharm Des. 2017;23(16):2352-2355. doi: 10.2174/1381612823666170207100025.","Vemuri R","Curr Pharm Des","2017","2017/02/09","","","10.2174/1381612823666170207100025"
"34371948","Gut Microbiota and Probiotics/Synbiotics for Modulation of Immunity in Critically Ill Patients","Shimizu K, Ojima M, Ogura H.","Nutrients. 2021 Jul 16;13(7):2439. doi: 10.3390/nu13072439.","Shimizu K","Nutrients","2021","2021/08/10","PMC8308693","","10.3390/nu13072439"
"25659048","[Autochthonous microbiota, probiotics and prebiotics]","Suárez JE.","Nutr Hosp. 2015 Feb 7;31 Suppl 1:3-9. doi: 10.3305/nh.2015.31.sup1.8701.","Suárez JE","Nutr Hosp","2015","2015/02/07","","","10.3305/nh.2015.31.sup1.8701"
"34068653","Role of Gut Microbiota and Probiotics in Colorectal Cancer: Onset and Progression","Torres-Maravilla E, Boucard AS, Mohseni AH, Taghinezhad-S S, Cortes-Perez NG, Bermúdez-Humarán LG.","Microorganisms. 2021 May 10;9(5):1021. doi: 10.3390/microorganisms9051021.","Torres-Maravilla E","Microorganisms","2021","2021/06/02","PMC8151957","","10.3390/microorganisms9051021"
"34200108","Co-Encapsulated Synbiotics and Immobilized Probiotics in Human Health and Gut Microbiota Modulation","Kvakova M, Bertkova I, Stofilova J, Savidge TC.","Foods. 2021 Jun 4;10(6):1297. doi: 10.3390/foods10061297.","Kvakova M","Foods","2021","2021/07/02","PMC8230215","","10.3390/foods10061297"
"34083266","Diet, Probiotics and Physical Activity: The Right Allies for a Healthy Microbiota","Divella R, DE Palma G, Tufaro A, Pelagio G, Gadaleta-Caldarola G, Bringiotti R, Paradiso A.","Anticancer Res. 2021 Jun;41(6):2759-2772. doi: 10.21873/anticanres.15057.","Divella R","Anticancer Res","2021","2021/06/04","","","10.21873/anticanres.15057"
"33512587","Impacts of gut microbiota on gestational diabetes mellitus: a comprehensive review","Huang L, Thonusin C, Chattipakorn N, Chattipakorn SC.","Eur J Nutr. 2021 Aug;60(5):2343-2360. doi: 10.1007/s00394-021-02483-6. Epub 2021 Jan 29.","Huang L","Eur J Nutr","2021","2021/01/29","","","10.1007/s00394-021-02483-6"
"27756430","Microbiota and neurologic diseases: potential effects of probiotics","Umbrello G, Esposito S.","J Transl Med. 2016 Oct 19;14(1):298. doi: 10.1186/s12967-016-1058-7.","Umbrello G","J Transl Med","2016","2016/10/21","PMC5069982","","10.1186/s12967-016-1058-7"
"25984528","Recent advances and future perspective in microbiota and probiotics","Kitazawa H, Alvarez S, Suvorov A, Melnikov V, Villena J, Sánchez B.","Biomed Res Int. 2015;2015:275631. doi: 10.1155/2015/275631. Epub 2015 Apr 23.","Kitazawa H","Biomed Res Int","2015","2015/05/19","PMC4423009","","10.1155/2015/275631"
